abfragefenster;qüry window
grundwasserinformationssystem;ground water information system
grünfläche;green space
grünflächenkataster;green area cadaster
grünland;grassland
grünordnungsplan;green area plan
gruppe;cluster
gummibandlinie;rubberbanding
gummieffekt;rubber banding
habitat;habitat
habitatmodell;habitat model
hacken;hacking
halbautomatisches digitalisieren;semi-automated digitizing
halbbildverfahren;interlaced method
halbebenenunterteilung;binary space partitioning
halbleiterbaustein;chip
halbton;halftone
halbtonabbildung;halftone image
halbtonbild;continuous tone photograph
handbuch;manual
handscanner;scanner
hang;slope
hangformen;cliff forms
hangneigung;slope angle
hardware;hardware
hardwareschutz;hardware protection
häufigkeit;freqüncy
häufigkeitsverteilung;freqüncy distribution
hauptdreiecksnetz;first order triangulation network
hauptdreiecksnetz;primary triangulation net
haupthöhenlinie;index contour
haupthöhennetz;first order levelling network
haupthöhennetz;principal network of heights
hauptkomponentenanalyse;principal component analysis
hauptmeridian;prime meridian
hauptspeicher;main memory
hauptträgerplatine;motherboard
hauptverzerrungsrichtungen;principal directions of distortion
hauptwirtschaftswege;main farm roads
hausnummer;house number
hektar;hectare
heliosynchrone bahn;helio syncron orbit
helmert-transformation;helmert transformation
hertz;hertz
herunterladen;download
hervorhebung;highlighting
heterogene netze;heterogeneous nets
hidden lines algorithmen;hidden lines algorithms
hierarchie;hierarchy
hierarchisch;hierarchical
hierarchische datenbank;hierarchical database
hierarchische datenbankstruktur;hierarchical database structure
hierarchische datenstruktur;hierarchical data structure
hierarchisches datenmodell;hierarchical data model
hierarchisches modell;hierarchical model
hilfsdaten;auxiliary data
hilfshöhenlinie;auxiliary contour
hilfsmittel;utilities
hilfsraster;auxiliary raster
hintergrund;background
hintergrundprogramm;batch programm
hintergrundspeicher;background storage
hintergrundverarbeitung;batch processing
hintergrundverarbeitung;background processing
histogramm;histogram
histogrammspreizung;histogram stretching
historische karte;archaic map
historische karte;historic map
hochfahren;booten
hochwassergrenze;flood water border
hochwert;northing
höhe;altitude
höhe;elevation
höhe;height
höhe über normal null;height above german reference surface
höhenaufnahme;altimetric survey
höhenaufnahme;contour survey
höhenaufnahme;survey of the relief
höhenberechnung;computation of height
höhendarstellung;representation of relief
höhenfehler;error in heighting
höhenflurkarte;cadastral map with heights
höhenkote;elevation number
höhenkurve;height contour
höhenlinie unter wasser;submerged contour
höhenlinienabstand;horizontal equivalent spacing of contours
höhenlinienabstand im grundriss;horizontal equivalent of contours
höhenliniendarstellung;representation of contours
höhenlinienzahl;contour valü
höhenmessung;hypsometrie
höhennetz;vertical control survey network
höhennull;base height level in germany
höhenplan;contour map
höhenprofil;height profile
höhenpunkt;spot height
höhenpunkt;spot elevation
höhenpunkt in der karte;spot elevation in the map
höhenpunkt in der karte;spot height
höhenschicht;contour level
höhenstufe;contour step
höhensystem;system of heights
höhensystem;vertical control system
höhenunterschied;difference in level
höhenunterschied;difference in elevation
höhenunterschied;altitude difference
höhenwert;height valü
höhenwinkel;angle of elevation
höhenwinkel;vertical angle
höhenzahl;spot height
höhenzahl;altitude
höhenzahl;height above datum
höhere programmiersprache;high level language
homogenisierung;homogenization
homogenität;homogenity
homologe projektionsstrahlen;homologous projection rays
homologe strahlen;homologous rays
horizontalwinkel;horizontal angle
hybrid;hybrid
hydrographie;hydrography
hydrologie;hydrology
hyper;hyper
hyperbelnavigation;hyperbolic navigation
hyperbelnavigationsverfahren;hyperbolic navigation system
hyperbelstandlinie;hyperbolic line of position
hypergloben;hyper globes
hypsometrische kurve;hypsometric contour
identifizierung;identification
imagespektometrie;image spectrometry
import;import
index;index
indexseqüntielle datei;index seqüntial file
indirekte entzerrung;indirect method of rectification
induktion;induction
induktive statistik;inductive statistics
industriestandard;industry standard
inertialsystem;inertial system
information;information
infrarot;infrared
infrarotaufnahme;infrared image
infrarotmaterial;infrared material
infrastruktur;infrastructure
infrastrukturkataster;register of the infrastructure
ingenieurvermessung;engineering survey
inhaltsverzeichnis;table of content
inhaltsverzeichnis;table of content
initialisierung;initialisation
inklination;inclination
inkrement;increment
innenfläche;interior area
innere orientierung;inner orientation
innere orientierung der messkamera;inner orientation of a camera
innere orientierung des messbildes;inner orientation of an image
inselkarte;map of an isolated region
inspektion;inspection
installation;installation
installationsprogramm;installation programme
instandhaltung;maintenance
instandsetzung;reparation
instanz;instance
integration;integration
integrierte multimediasysteme;integrated multi media system
integrierte software;integrated software
integrität;integrity
intelligente infrastruktur;intelligent infrastructure
intelligente transportsysteme;intelligent transportation systems
intelligentes terminal;intelligent terminal
interaktion;interaction
interaktionsmodellierung;interaction modeling
interaktiv;interactive
interaktive bearbeitung;interactive editing
interaktiver modus;interactive mode
interaktives digitalisieren;interactive digitizing
interaktives graphisches system;interactive graphics system
interferometrisches sar;insar
internationale norm;international standard
internationale weltkarte;international map of the world
internationale zivile luftfahrtorganisation;icao
internationales einheitensystem;international unit system
internationales hydrographisches büro;international hydrographic bureau
internet;international network
internet-diensteanbieter;internet service provider
internet-diskussionsforum für geoinformation;internet discussion forum for spatial information
interoperabilität;interoperability
interpolation;interpolation
interpolation von höhenlinien;interpolation of contour lines
interpolationsverfahren;interpolation procedures
interpolieren;to interpolate
interpretationsfaktoren;interpretation elements
interpretationsgerät;interpretation device
interpretationsschlüssel;interpretation key
interpretationsverfahren;interpretation procedure
interpreter;interpret
interviews;interviews
intrinsische hypothese;intrinsic hypothesis
inverse distanzgewichtung;inverse distance weighting
ionosphärische laufzeitverzögerung;ionospheric time delay
isarithme;isarithm
isarithmenkarten;isarithm map
isobare;isobar
isobathen;isobaths
isochronen;isochron
isodata;iterative self-organizing data analysis techniqü
isogone;isogon
isohypse;isohypsis
isohypse;contour line
isolinie;isoline
isolinie;isogram
isolinienkarten;isopleth map
isolinienmethode;isoline method
isometrie;isometry
iso-norm;iso standard
isoplethe;isopleth
isoplethenkarte;isopleth map
isotropisch;isotropic
istanalyse;situation analysis
istzustand;current situation
iteration;iteration
kachel;tile
kalibrierung;calibration
kamera;camera
kamerakalibrierung;camera calibration
kamerakonstante;camera constant
kammlinie;crest line
kanal;channel
kanal;band
kanalanschlusskataster;sewage cadaster
kanalisation;sewerage
kanalverhältnisse;band ratios
kante;edge
kantenlinie;edge line
kantenmodell;edge model
kantenvergleich;edge matching
kantenverstärkung;edge enhancement
kapazität;capacity
kardinal;cardinal
kardinalität;cardinality
kardinalzahl;cardinal number
karte;map
kartenabbildung;map projection
kartenalgebra;map algebra
kartenanalysepaket;map analysis package
kartenanpassung;map matching
kartenansatz;mapping approach
kartenarchivierung;map archiving
kartenausgabe;map output
kartenausschnitt;map extract
kartenbestandteile;map parts
kartenbezugssystem;map reference system
kartenbezugssystem;map datum
kartenblatt;map sheet
kartenblattbezeichnung;sheet designation
kartenblattname;map sheet name
kartenblattnummer;map sheet number
kartendruck;map printing
karteneinheit;map unit
kartenentwurf;map draft
kartenfeld;map surface
kartengitter;map grid
kartengrund;topographic base
karteninterpretation;map interpretation
kartenlesen;map reading
kartenmassstab;map scale
kartenmessung;map measurement
kartenmontage;map mosaiking
kartennetz;graticule
kartennetzberechnung;graticule computation
kartennetzentwurf;draft of the map projection
kartennutzung;map usage
kartenprojektion;map projection
kartenprojektionslehre;education on map projections
kartenrahmen;map frame
kartenrand;map margin
kartenrandangaben;marginal data
kartenrelief;plastic relief map
kartenreproduktion;map reproduction
kartensammlung;map collection
kartenschnittlinien;neatlines
kartenschnittlinien;sheet lines
kartenschriften;letterings
kartenserver;map server
kartensignatur;conventional map signs
kartensignatur;map symbols
kartenstil;map style
kartentechnik;cartographic techniqüs
kartenthema;map title
kartentitel;map title
kartenurheberrecht;map copyright
kartenurheberrechtsschutz;map copyright protection
kartenverwandte darstellung;map equivalent representations
kartenwerk;map series
kartenwesen;mapping
kartenzusammenstellung;composite map
kartesische koordinaten;cartesian coordinates
kartesisches koordinatensystem;cartesian coordinate system
kartiereinheit;mapping unit
kartieren;mapping
kartodiagramm;carto diagram
kartogramm;cartogram
kartographie;cartography
kartographische abbildung;map projection
kartographische anamorphosen;cartographic anamorphisms
kartographische ausdrucksform;cartographic expression schema
kartographische darstellung;cartographic representation
kartographische darstellungsmethoden;methods of cartographic representation
kartographische generalisierung;cartographic generalisation
kartographische grundsätze;cartographic rules
kartographisches modell;cartographic model
kartographisches modellieren;cartographic modelling
kartographisches modellieren;cartographic modelling
kartometrie;cartometry
kataster;cadaster
katasteramt;cadastral office
katasterbuch;cadastral books
katasterkarte;cadastral map
katasterkartenwerk;cadastral map series
katastervermessung;cadaster surveying
katastervermessung;cadastral survey
katasterzahlenwerk;cadaster numbering series
kathodenstrahlröhre;cathode ray tube
kathodenstrahlröhre;cathode tube ray
kathodenstrahlröhre;crt
kaufpreiskarte;map of land prices
kaufpreissammlung;collection of land prices
kavalierperspektive;cavalier perspective
kegelabbildung;conical projection
kennung;identification
kennziffer des meridianstreifens;zone number
kern;kernel
kernebenen;focal planes
kette;chain
kettencode;chain codes
kettencode;chain code
killer-applikation;killer-application
kilometrierung;kilometre marking
kinematische positionierung;kinematic positioning
klasse;class
klassenbildung;class generation
klassifikation;classification
klassifizierung;classification
klassifizierung der strassen und wege;classification of highways and roads
kleine halbachse;small half axis
kleinformen;minor features
kleinklima;local climate
kleinkreis;small circle
kleinmassstäbige karte;small scale map
kleinste kartiereinheit;minimum mapping unit
kleinste-quadrate-bildzuordnung;least-squares image matching
klothoide;clothoid
knoten;node
knotenlinie;line of nodes
knotenvalenz;node valence
koaxialkabel;coax cable
kode;code
kodierung;coding
kommando;command
kommandosprache;command language
kommandozeile;command line
kommentar;comment
kommunales informationssystem;municipal information systems
kommunales umweltinformationssystem;municipal environmental information system
kommunikation;communication
kommunikationsnetze;communication networks
kommunikationssystem;communciation system
kommunikationsverbund;communication net
komparator;comparator
komparatorplotter;comparator plotter
kompatibilität;compatibility
kompilieren;compiling
komplementärfarben;complementary colours
komplettdatenabgabe;full data delivery
komplexe karte;complex thematic map
komplexe oberfläche;complex surface
komplexe objekte;complex objects
komplexe polygone;complex polygons
komplexe schattierung;complex shading
komplexität;complexity
komponente;component
komponententechnologie;component technology
kompression;compression
konfiguration;configuration
konfigurationsmanagement;configuration management
konform;conformal
konforme abbildung;conformal projection
konformität;conformity
kongrünz;congrünce
konische abbildung;conic projection
konkretisierung;concretization
konkurrenzkontrolle;concurrency control
konnektivität;connectivity
konnektivität;connectivity
konsistenz;consistency
konsole;console
konstante;constant
konstante höhenstufe;constant height step
konstante schichthöhe;constant height level
konstanter vertikaler höhenlinienabstand;constant vertical contour line distance
konstantes höhenlinienintervall;constant contour line interval
konstruktion mit raumprimitiven;construction with spatial primitives
kontaktabzug;contact output
kontextsensitiv;context sensitive
kontiguität;contiguity
kontinuierliche daten;continuous data
konto;account
kontrast;contrast
kontraständerung;contrast changing
kontrastausgleich;contrast matching
kontrastübertragungsfunktion;modulation transfer function
kontrastumfang;contrast range
kontrolliertes mosaik;controlled mosaik
kontrollpunkt;control point
kontrollsegment;control segment
kontrollzeichen;control character
kontur;contour
konturgrafik;contour graphics
konturverfolgung;contour following
konvergenz;convergence
konvertierung;conversion
konzentration;concentration
konzeptionelle modellierungssprache;conceptual schema language
konzeptionelles modell;conceptual model
konzeptülle realität;conceptual reality
konzeptülles schema;conceptual schemata
koordinaten;coordinates
koordinatenachse;coordinate axis
koordinatenberechnung;coordinate computation
koordinatendatei;coordinate file
koordinatengeometrie;coordinate geometry
koordinatenkennziffer;coordinate identifier
koordinatensystem;coordinate system
koordinatentransformation;coordinate transformation
koordinatenumformung;conversion of coordinates
koordinatenumformung;transformation of coordinates
koordinierter punkt;coordinated point
kopierschutz;copy protection
korrelation;correlation
korrelationsköffizient;correlation cöfficient
kovarianzmatrix;covariance matrix
kreisdiagramm;circle diagram
kreuzkorrelationsköffizient;cross-correlation cöfficient
kreuzvalidierung;cross-validation
kriminalitätsanalysen;crime analysis
krokieren;sketching
krümmung;curvature
kryptologie;cryptology
kubikmeter;cubic metre
kubische konvolution;cubic convolution
kugelkoordinaten;spherical coordinates
kulturtechnik;rural engineering
kulturtechnik;agricultural engineering
kundenbeziehungspflege;customer relationship management
künstliche intelligenz;artificial intelligence
künstliche neuronale netze;artificial neural networks
künstlicher verknüpfungspunkt;artificial tie point
kuppe;knob
kurvenanpassung;curve fitting
kurvendiagramm;curve diagram
kürzeste wege;shortest path
kurzwelliges infrarot;short wave infrared
küste;coast
küstenkarte;coastal chart
lagebezeichnung;lcoation name
lagebezogene verweise;locational reference
lageparameter;position parameter
lager;repository
lagetreü;concrete representation
landbedeckung;land cover
landesaufnahme;national topographic surveying
landeshorizont;national vertical datum
landeskartenwerk;national map series
landeskultur;land cultivation
landeskunde;applied geography
landesnetz;national network
landespflege;landscape conservation
landesplanung;regional policy of a land government
landesvermessung;national survey
landinformationssystem;land information system
landkarte;map
ländlicher raum;rural region
landschaft;landscape
landschaftsinformationssystem;landscape information system
landschaftsökologie;landscape ecology
landschaftspflege;protection and conservation of landscape
landschaftsplan;landscape plan
landschaftsschutzgebiet;protected area
landwirtschaft;agriculture
landwirtschaftliche datenübertragungs-syntax;agricultural data interchange syntax
landwirtschaftliche nutzfläche;agricultural area
landwirtschaftliche standortkarte;agricultural map of positional behaviour
landwirtschaftliches bus-system;agricultural bus system
länge;length
längengrad;longitude
längenkreise;meridians
längenmassstab;linear scale
längsneigung;slope
längsprofil;longitudinal profile
längsschnitt;longitudinal section
längsüberdeckung;length coverage
lärmschutz;noise protection
laserdrucker;laser printer
laserplotter;laser plotter
laserscanner;laserscanner
laufendhaltung;map revision
lauffähiges programm;executable
lauflängencodierung;run length encoding
laufvariable;loop number
leerzeichen;blank
legende;legend
leistungsmerkmal;performance feature
leitbild;overall concept
leitungsanlagen;utility plants
leitungskataster;recording and registering of utility services
leitungsnetz;utility network
leitungsplan;plan of utility lines
leitungsrecht;pipeline wayleave
lentikularlinsentechnik;lenticular lenses method
liegenschaften;real estates
liegenschaftsbuch;cadastral book
liegenschaftskataster;cadaster of real estates
liegenschaftswesen;cadaster
lineare prädiktion;linear prediction
linearer interpolator;linear interpolator
liniendrucker;line printer
linienkarte;line map
liniensegment;line segment
liniensignaturen;line signature
linienverfolgung;line following
lizenz;licence
logical consistency;logische konsistenz
logischer ausdruck;logical expression
logischer operator;boolean operator
logischer operator;logical operator
logisches datenmodell;logical data model
entwässerungsrichtung;drain direction
ertragsermittlung;yield computations
kartesische koordinaten;cartesian coordinates
lokales beleuchtungsmodell;local illumination model
lokales bezugssystem;local reference system
lokales datum;local datum
lose kopplung;loosly-coupled
loxodrome;rhumb line
lücke;gap
luftbild;ärial image
luftbildarchäologie;ärial archäology
luftbildinterpretation;ärial image interpretation
luftbildkamera;ärial camera
luftbildkarte;photomap
luftbildkartenrelief;photomap relief
luftbildmessung;photogrammetry
luftbildmosaik;ärial image mosaik
luftbildplan;controlled mosaic
luftbildrelief;relief with superimposed ärial photograph
luftfahrtkarten;äronautical maps
mäander;meander
machbarkeitsstudie;feasibility study
magnetbandspeicher;winchester storage
magnetische deklination;magnetic declination
magnetische nordrichtung;magnetic north
magnetisch-nord;magnetic north
magnetplattenspeicher;magnetic disc
management;management
manülle eingabe;manual input
manülles digitalisieren;manual digitizing
kartengeometrieobjekte;map geometry objects
markieren;marking
marktanalyse;market analysis
maschinenbefehl;maschine instruction
maschinenlesbar;computer readable
maschinensprache;machine language
maske;mask
massenberechnung;mass computation
massenermittlung;mass computation
massenspeicher;mass storage
massgebundenes generalisieren;generalisation
massstab;scale
massstab der höhen;vertical scale
massstab der längen;horizontal scale
massstabsbalken;scale bar
massstabsbereich;scale range
massstabsfolge;scale serie
massstabstreü;scale preservation
massstabszahl;scale denominator
masszahl;scale number
mathematische statistik;mathematical statistics
mathematisches modell;mathematical model
matrix;matrix
matrixdrucker;matrix plotter
maximale mutmasslichkeit;maximum likelikood
medien;media
meereshöhe;height above sea level
meereskarte;oceanographic chart. oceanographic map
mehrbenutzersystem;multi user system
mehrbenutzerzugriff;multi user access
mehrbilder;multi imagery
mehrbildmessung;multi image measurements
mehrfachrepräsentation;multiple representation
mehrwegeffekt;multipath error
mengenlehre;set theory
menü;menu
menüleiste;menu bar
mercatorabbildung;mercator`s projection
mercatorprojektion;mercator projection
meridian;meridian
meridian von greenwich;greenwich meridian
meridianbogen;arc of meridian
meridianebene eines punktes;meridian plane of a point
meridiankonvergenz;grid convergence
meridianstreifen;meridional zone
merkmal;feature
merkmalsbasierte bildzuordnung;feature-based image matching
merkmalsraum;feature space
messbild;image
messbildebene;image plane
messgenauigkeit;measurement accuracy
messgrösse;measuring unit
messkamera;photogrammetric camera
messmarke;floating mark
messtischaufnahme;plane table survey
messtischblatt;german sheet lines (for basic plane table survey)
messung;measurement
metadaten;meta data
metadatenschema;meta data schemata
metainformation;meta information
metainformationssystem;meta information system
meter;meter
mikrowellen;microwaves
millionen anweisungen pro sekunde;mips
millionen anweisungen pro sekunde;million instructions per second
minimal einschliessendes rechteck;minimum bounding rectangle
missweisung;magnetic declination
mittelachsen;middle axis
mittellinie;center line
mittellinie eines flusslaufs;centre line of a river
mittelmassstäbige karte;mean scale
mittelwert;average valü
mittelwertbildung;average valü computation
mittlere greenwich zeit;greenwich mean time
mittlere zugriffszeit;average access time
mittlerer höhenfehler der geländedarstellung durch höhenlinien;mean height error of terrain representation by contour lines
mittlerer lagefehler der grundrissdarstellung;mean positional error in plane representation
mittlerer wasserstand;mean water level
mittleres erdellipsoid;mean earth-ellipsoid
mittleres infrarot;mid-infrared
thermal-infrarot;thermal infrared
mobile erfassung;mobile capture
mobile felddatenerfassung;mobile field data capture
mobiles internetprotokoll;mobile ip
mobiles laserscanning;mobile laserscanning
mobiles rechnen;mobile computing
mobilität;mobility
modell;model
modellblock;model block
modellfehler;model error
modellierung;modelling
modellkoordinaten;model coordinates
modellmassstab;model scale
modellparallaxen;model parallaxes
modul;module
modulation;modulation
momentaufnahme;snapshot
monitoring;monitoring
monochromatisches bild;monocromatic imagery
monokomparator;mono comparator
moor;bog
morphographische karte;landform-type map
morphographische karte;terrain-type map
mosaik;mosaic
mosaikbildung;mosaicking
müllansammlung;garbage collection
multimedia;multi media
multimediawerkzeug;multi media tool
multiple vererbung;multiple inheritance
multiprozessierung;multiprocessing
multiprozessorsystem;multi processor system
multisensorale aufnahme;multisensoral data acquisition
multisensorsystem;multi sensor system
multispektral;multi spectral
multispektralaufnahme;multi spectral data acquisition
multispektralbild;multi spectral image
multispektralklassifizierung;multi spectral classification
multispektralscanner;multi spectral scanner
multitemporale aufnahme;multi temporal data acquisition
muster;pattern
musterblatt;style sheet
mustererkennung;pattern recognition
nachbar;neighbour
nachbarschaftsanalyse;proximalanalyse
nachbarschaftsanalysen;neigborhood analysis
nachbarschaftstyp;neighbor type
nachbau;clone
nachberechnung;post processing
nachbildung;emulation
nachhaltigkeit;sustainability
nachricht;message
nadelabweichung;grid magnetic angle
nadelabweichung;grivation
nadeldrucker;pin printer
nadir;nadir
nadiraufnahme;nadir photo
nahbereichsphotogrammetrie;close-range photogrammetry
nähe;proximity
nahes infrarot;near infrared
nationalatlas;national atlas
natürlicher verknüpfungspunkt;natural tie point
naturpark;nature conservation park
naturschutz;nature conservation
naturschutzgebiete;conservations areas
naturschutzgebiete;nature reserves
nautische kartographie;nautical cartography
navigation;navigation
navigationskarte;navigational chart
neigungsmassstab;slope scale bar
netzanlage;network layout
netzanlage;establishment of a network
netzberechnung;network calculation
netzberechnungspläne;maps for network calculation
netzentwurf;map projection draft
netzgeplauder;chat
netzinformationssystem;network information system
netzinfrastruktur;network infrastructure
netzmanagement;network management
netzplan;network plan
netztopologie;network topology
netzverdichtung;network densification
netzwerk;network
netzwerk für geographische information in europa;ginie
netzwerkadministration;network administration
netzwerkanalyse;network analysis
netzwerk-datenbankstruktur;network database structure
netzwerkmanagement;network management
netzwerkmodell;network model
netzzusammenschaltung;interconnection
neupunkt;new point
neuronale netze;neural network
neustart;restart
neuverteilungskarte;new land consolidation plan
neuzeichnen;redraw
nicht exakter interpolator;non exact interpolator
nicht im paket;unbundled
nichtamtliche kartenwerke;private map series
niedere geodäsie;surveying
niedrige kosten;low cost
niveaufläche;equipotential surface
niveaufläche;level surface
niveaulinie;level line
nivellement;levelling
nivellementnetz;levelling network
nivellieren;levelling
nivellierinstrument;levelling instrument
nivellierlatte;levelling rod
nordrichtung;north direction
nordwert;northing
normale;normal vector
normale abbildung;normal projection
normale lage der abbildungsfläche;normal position of the projection plane
normalfall;normal case
normalform;normal form
normalhöhe;normal height
normalhöhenpunkt;standard height reference point in germany
normalisierter differenzvegetationsindex;normalized difference vegetation index
normalisierung;normalisation
normalnull;height reference system nn
normalstreifen;normal stripes
normalverteilung;normal distribution
normalwinkelkamera;normal angle camera
normentwurf;standard draft
normung;standardisation
nullmeridian;prime meridian
nullmeridian;meridian of origin
nullmeridian;zero meridian
nullmeridianebene;prime meridian plane
nullzelle;zero cell
numerische taxonomie;numerical taxonomy
numerischer zeichenvorrat;set of numerical characters
nutzer;user
nutzersegment;user segment
nutzungsart;land use type
nutzungsartgrenze;border of land use type
nutzwertanalyse;benefit analysis
nyquistsches abtasttheorem;nyquist scan theorem
oberfläche;surface
oberflächenmodell;surface model
oberflächenrauheit;surface roughness
oberflächenstreuung;surface scattering
oberflächentrendanalyse;trend surface analysis
objekt;feature
objektartenkatalog;feature type catalogü
objektbasierte bildzuordnung;feature based image matching
objektcode;fetaure code
objektextraktion;feature extraction
objektklasse;feature class
objektklassenprinzip;feature class principle
objektorientiert;object-oriented
objektorientierte datenbanksysteme;object-oriented database system
objektorientierte softwaretechnologie;object-oriented software technology
objektorientiertes programmieren;object-oriented programming
objektrelationales datenbankmanagementsystem;object-relational database management system
objektschlüssel;feature key
objektschlüsselkatalog;feature key catalogü
objektsignatur;object signature
öffentlich verfügbar;public domain
offset;offset
operateur;operator
operation;operation
optical axis;optische achse
optimaler schätzer;optimal estimator
optische filter;optical filter
optische platten;optical disk
optischer bildmittelpunkt;optical image center
ordinate;ordinate
ordinatenachse;ordinate axis
ordinatentreue abbildung;projection with undistorted ordinate axis
ordnung;order
organisation;organisation
organisationsmodell;organisation model
organizer;organizer
orientierung;orientation
orientierungspunkte;orientation points
orthobild;ortho image
orthodrome;geodesic line
orthogonalsystem;orthogonal system
orthogonalverfahren;orthogonal procedure
orthometrische höhe;orthometric height
orthophoto;ortho photo
orthophotokarte;ortho photo map
orthophotomosaik;ortho photo mosaic
orthophotoplan;ortho photo map
orthophotoverfahren;ortho photo procedure
ortsfreqünz;spatial freqüncy
ortslage;settlement
ortsnamen;village name
ortung;positioning
ortungsgenauigkeit;positioning accuracy
ostrichtung;easting
paket;package
palette;palette
panorama;panorama
panoramaverzerrung;panoramic distortion
parallaxen;parallaxis
parallel;parallel
parallele datenbanken;parallel databases
parallele medien;parallel media
parallele schnittstelle;parallel interface
parallelkoordinaten;parallel coordinates
parallelkreis;parallel circle
parallelprojektion;orthographic projection
parallelrechner;parallel computer
parallelverschiebung;parallel translation
parametrisierte darstellung;parametric representation
paritätsbit;parity bit
parser;parser
partition;partition
parzelle;parcel
passive netzwerkkomponente;passiv network component
passiver satellit;passive satellite
passiver sensor;passive sensor
passives mikrowellensystem;passive microwave system
passives verfahren;passive system
passpunkt;ground control point
passwort;pass word
patent;patent
pegel;water gauge
pegel;water level gauge
peilung;bearing
performanz;leistungsstärke
performanz;performance
peripherie;peripherie
peripheriegerät;peripheral device
persistenz;persistence
personalisierung;personalisation
personendaten;personal data
persönliche mobilität;personal mobility
perspektive;perspective
perspektivische ansicht;perspective view
pfad;path
pfadname;pathname
pfeilhöhe;versed sine
pflanzenerkennung;plant detection
pflichtenheft;fine specifications
phasenkonzept;phase concept
phasenmehrdeutigkeit;ambiguity
photogeologie;photo geology
photogrammetrie;photogrammetry
photogrammetrische aufnahme;photogrammetric image
photogrammetrische auswertung;photogrammetric processing
photogrammetrisches modell;photogrammetric model
photogrammetrisches objektiv;photogrammetric lens
photographie;photography
photointerpretation;photo interpretation
photomosaik;photo mosaic
photorealistische computergraphik;foto realistic computer graphics
photorealistische darstellung;photo realistic representation
physikalisches datenmodell;physical data model
piktogramm;pictogram
pilotstudie;pilot study
ping;packet internet groper
pivotieren;pivoting
pivottabelle;pivot table
pixel pro inch;pixel per inch
pixelgraphik;pixel graphics
plan;plan
planarer graph;planar graph
planares koordinatensystem;plane coordinate system
planaufstellung;scheme of planning
planen;planning
planfeststellung;assessment of project
plangebiet;plan area
planimetrie;planimetry
planimetrische karte;planimetric map
planungsatlas;series of plans
planungsphase;planning phase
planungsrecht;planning law
planungsträger;authority concerned with planning
planzeichenverordnung;regulation of plan notations and signs
plateaubildung;wedding cake effect
plattenkamera;glass plate camera
plattform;platform
plattformunabhängigkeit;platform independence
plausibilitätsprüfung;plausibility check
plotter;plotter
polaraufnahme;polar mapping
polare abbildung;polar projection
polare punktbestimmung;polar point determination
polares anhängen;polar point determination
polarimetrisches sar;polsar
polarisation;polarisation
polarisationsverfahren;polarisation method
polarkoordinaten;polar coordinates
polarständige satellitenumlaufbahn;polar orbiting satellite
politische grenzen;political and administrative boundaries
polyederabbildung;polyhedric projection
polygon;polygon
polygonbildung;polygonization
polygonierung;polygonization
polygonzug;traverse
polykonische abbildung;polyconic projection
polymorphismus;polymorphism
polynom;polynom
polynomial;polynomial
portabilität;portability
portabler pc;handheld pc
portal;portal
portalseite;portal page
position;position
positionsbezugssystem;positional reference system
positionsfehler;positional error
positionsgenauigkeit;positional accuracy
positionssignaturen;position signature
postleitzahl;postcode
postprozessor;postprocessor
prädikat;predicate
prädiktion;prediction
praktische kartographie;practical cartography
präsentationsgraphik;presentation graphics
präsentationsobjekte;presentation objects
präzision;precision
primäre erfassungsmethode;primary data acquisition
primäre metrik;primary metrices
primäres digitales oberflächenmodell;primary digital surface model
primärfarben;primary colours
primärschlüssel;primary key
primärspeicher;primary storage
prisma;prism
privatkartographie;private cartography
privilegien;privileges
produktanpassung an kundenwünsche;customizing
produkte der bildinterpretation;products of image interpretation
produkte der bildmessung;products of image measurements
produktionsphase;production phase
produktionsregeln;production rules
produktvorauswahl;product preselection
profil;profile
prognose;prognosis
programm;program
programmabsturz;program crash
programmausdruck;listing
programmbeschreibung;program description
programmbibliothek;program library
programmgeneratoren;program generator
programmierer;programmer
programmierfehler;program error
programmiersprache;programming language
programmierung;programming
programmschnittstelle;program interface
projekt;project
projektdokumentation;project documentation
projektgebiet;project area
projektierung;projecting
projektion;projection
projektionszentrum;projection centre
projektkoordinaten;project coordinates
projektkultur;project culture
projektleiter;project leader
projektplan;project plan
projektplanung;project planning
projektteam;project team
projektziele;project targets
prolog;programming in logic
promotheus;program for a european traffic with highest efficiency and unprecedented safety
proprietär;proprietary
protokoll;protocol
protokollierung;logging
prozedur;procedure
prozess;process
prozessfarben;process colours
prozessmodell;process model
prozessor;processor
prüfausdruck;check plot
pseudocode;pseudo code
pseudofarbbild;pseudo colour image
pseudoskopische betrachtung;pseudoscopic view
puffer;buffer
puffern;buffering
pufferzone;buffer zone
punkt;point
punkt der bildmessung;point of image measurement
punktauftragung;plotting of points
punktbestimmung;point determination
punktdatei;point file
punktdichte;point density
punktdigitalisierung;point digitising
punktmodus;point mode
punktübertragung;point transfer
punktübertragungsgerät;point transfer device
punktverteilung bei der geländeaufnahme;point distribution in the terrain
pyknophylaktische interpolation;pycnophylactical interpolation
quadrant;quadrangle
quadratmeter;square metre
quadratnetz;quadratic net
qualifizierter bebauungsplan;qualified development plan
qualität;quality
qualitative karten;qualitative map
qualitätselement;quality element
qualitätsindikator;quality indicator
qualitätsmanagement;quality management
qualitätsmass;quality measure
qualitätsnorm;quality norm
qualitätsparameter;quality parameter
qualitätsschema;quality schema
quantisierungsfehler;quantisation error
quantisierungsintervall;quantisation interval
